Titre sans typo	site :titre	num:volume	site:promotion	num:pp	ordre	identifiant	path	Auteur principal et sa Fonction	site :nom	site :prenom	Noter ici tout ce qui peut servir au prestataire	Autorité IdRef Forme retenue	IdRef ou ARK	num:ordre	num:id	site :id	Date d'édition	Promotion	TOME	COTE Thèse AN AB XXVIII 	ppn thèse (NC=non catalogué)	Lieu	Début-Fin de période	Dimensions en cm	Cote Thèse BENC	Renseigner : contribue au constat d'état	site :tri	site :sexe	site :notBefore	site :notAfter	site :professeur	site :lodel
Jean II, duc d’Alençon (1404 ou 1405-1476)	Jean_II, duc d’Alençon (1404 ou 1405-1476)	6-1893-1897	1893	43-46	05	ENCPOS_1893_05	ENCPOS/1893/ENCPOS_1893_05/	Guibert, Joseph	Guibert	Joseph						189305		1893			NC		1404-1476			bon état	guibert	1	1404	1476		
Étude sur l’église Sainte-Madeleine de Troyes	Étude sur l’église Sainte-Madeleine de Troyes	6-1893-1897	1893	47-51	06	ENCPOS_1893_06	ENCPOS/1893/ENCPOS_1893_06/	Hoppenot, Paul	Hoppenot	Paul						189306		1893			NC		1000-1893			bon état	hoppenot	1	1000	1893		
De l’influence des coutumes de Berry sur la législation de Genève au xvie siècle	De l’influence des coutumes de Berry sur la législation de Genève au <abbr>xvi<sup>e</sup></abbr> siècle	6-1893-1897	1893	53-54	07	ENCPOS_1893_07	ENCPOS/1893/ENCPOS_1893_07/	Peretti De La Rocca, De, Emmanuel	Peretti De La Rocca, De	Emmanuel						189307		1893			NC		1500-1599			bon état	perettidelarocca	1	1500	1599		
Étude sur François de Coligny, seigneur d’Andelot, colonel général de l’infanterie française (1521-1569)	Étude sur François_de_Coligny, seigneur d’Andelot, colonel général de l’infanterie française (1521-1569)	6-1893-1897	1893	55-64	08	ENCPOS_1893_08	ENCPOS/1893/ENCPOS_1893_08/	Saché, Marc	Saché	Marc						189308		1893			NC		1521-1569			bon état	sache	1	1521	1569		
Guerre et négociations entre François Ier et Henri VIII, du traité de Crépy au traité d’Ardres (septembre 1544-juin 1546)	Guerre et négociations entre François_I<sup>er</sup> et Henri_VIII, du traité de Crépy au traité d’Ardres (septembre 1544-juin 1546)	6-1893-1897	1893	65-76	09	ENCPOS_1893_09	ENCPOS/1893/ENCPOS_1893_09/	Salles, Georges	Salles	Georges						189309		1893			NC		1544-1546			bon état	salles	1	1544	1546		
La communauté des habitants de Blois jusqu’au commencement du xvie siècle	La communauté des habitants de Blois jusqu’au commencement du <abbr>xvi<sup>e</sup></abbr> siècle	6-1893-1897	1893	77-89	10	ENCPOS_1893_10	ENCPOS/1893/ENCPOS_1893_10/	Soyer, Jacques	Soyer	Jacques						189310		1893			NC		-500-1600			bon état	soyer	1	-500	1600		
Étude sur la vie et les œuvres de Robert Cénalis (1483-1563)	Étude sur la vie et les œuvres de Robert_Cénalis (1483-1563)	6-1893-1897	1893	91-93	11	ENCPOS_1893_11	ENCPOS/1893/ENCPOS_1893_11/	Vautier, Adolphe	Vautier	Adolphe						189311		1893			NC		1483-1563			bon état	vautier	1	1483	1563		
pages postliminaires		6-1893-1897	1893	95-	NEXT	ENCPOS_1893_NEXT	ENCPOS/1893/ENCPOS_1893_NEXT/																									
pages liminaires		6-1893-1897	1894	0	PREV	ENCPOS_1894_PREV	ENCPOS/1894/ENCPOS_1894_PREV/																									
Renaud VI, sire de Pons, lieutenant du roi en Poitou, Saintonge et Angoumois, conservateur des Trêves de Guyenne, vicomte de Turenne et de Carlat, seigneur de Ribérac, etc. (1348 ?-1427)	Renaud_VI, sire de Pons, lieutenant du roi en Poitou, Saintonge et Angoumois, conservateur des Trêves_de_Guyenne (1348 ?-1427)	6-1893-1897	1894	1-4	01	ENCPOS_1894_01	ENCPOS/1894/ENCPOS_1894_01/	Chavanon, Jules	Chavanon	Jules						189401		1894			NC		1348-1427			bon état	chavanon	1	1348	1427		
