Titre sans typo	site :titre	num:volume	site:promotion	num:pp	ordre	identifiant	path	Auteur principal et sa Fonction	site :nom	site :prenom	Noter ici tout ce qui peut servir au prestataire	Autorité IdRef Forme retenue	IdRef ou ARK	num:ordre	num:id	site :id	Date d'édition	Promotion	TOME	COTE Thèse AN AB XXVIII 	ppn thèse (NC=non catalogué)	Lieu	Début-Fin de période	Dimensions en cm	Cote Thèse BENC	Renseigner : contribue au constat d'état	site :tri	site :sexe	site :notBefore	site :notAfter	site :professeur	site :lodel
Catalogue des actes des évêques d’Orléans jusqu’à l’année 1207	Catalogue des actes des évêques d’Orléans jusqu’à l’année 1207	13-1938-1941	1940	103-103	11	ENCPOS_1940_11	ENCPOS/1940/ENCPOS_1940_11/	Simon, Suzanne	Simon	Suzanne						194011		1940			NC		500-1207			bon état	simon	2	500	1207		
Recherches sur la bourgeoisie parisienne au xiiie siècle	Recherches sur la bourgeoisie parisienne au <abbr>xiii<sup>e</sup></abbr> siècle	13-1938-1941	1940	107-118	12	ENCPOS_1940_12	ENCPOS/1940/ENCPOS_1940_12/	Terroine, Anne	Terroine	Anne						194012		1940			NC		1200-1299			bon état	terroine	2	1200	1299		
pages postliminaires		13-1938-1941	1940	119-	NEXT	ENCPOS_1940_NEXT	ENCPOS/1940/ENCPOS_1940_NEXT/																									
pages liminaires		13-1938-1941	1941	0-8	PREV	ENCPOS_1941_PREV	ENCPOS/1941/ENCPOS_1941_PREV/																									
Les institutions municipales de Troyes aux xive et xve siècles (1354-1493)	Les institutions municipales de Troyes aux <abbr>xiv<sup>e</sup></abbr> et <abbr>xiv<sup>e</sup></abbr> siècles (1354-1494)	13-1938-1941	1941	9-17	01	ENCPOS_1941_01	ENCPOS/1941/ENCPOS_1941_01/	Bibolet, Françoise	Bibolet	Françoise						194101		1941			NC		1354-1494			bon état	bibolet	2	1354	1494		
Étude sur la vie rurale dans la région d’Aurillac au xve siècle	Étude sur la vie rurale dans la région d’Aurillac au <abbr>xv<sup>e</sup></abbr> siècle	13-1938-1941	1941	19-29	02	ENCPOS_1941_02	ENCPOS/1941/ENCPOS_1941_02/	Bouyssou, Léonce	Bouyssou	Léonce						194102		1941			NC		1400-1499			bon état	bouyssou	1	1400	1499		
La corporation des merciers de Paris des origines à la fin du xvie siècle	La corporation des merciers de Paris des origines à la fin du <abbr>xvi<sup>e</sup></abbr> siècle	13-1938-1941	1941	31-38	03	ENCPOS_1941_03	ENCPOS/1941/ENCPOS_1941_03/	Cléret, Josette	Cléret	Josette						194103		1941			NC		1000-1599			bon état	cleret	2	1000	1599		
Les institutions du comté d’Angoulême de Bougrin Ier (866-886) à Guiard (1308)	Les institutions du comté d’Angoulême de Bougrin_I<sup>er</sup> (866-886) à Guiard (1308)	13-1938-1941	1941	39-47	04	ENCPOS_1941_04	ENCPOS/1941/ENCPOS_1941_04/	Cravayat, Paul	Cravayat	Paul						194104		1941			NC		866-1308			bon état	cravayat	1	866	1308		
Le « couvent et hôpital » de la Charité de Paris (1602-1794)	Le « couvent et hôpital » de la Charité de Paris (1602-1794)	13-1938-1941	1941	49-55	05	ENCPOS_1941_05	ENCPOS/1941/ENCPOS_1941_05/	Duval, Jacqueline	Duval	Jacqueline						194105		1941			NC		1602-1794			bon état	duval	2	1602	1794		
« La vie sainte Geneviève » par le clerc Renaut. Poème français du xiiie siècle. Étude  et édition	<i>La_vie_sainte_Geneviève</i> par le clerc Renaut. Poème français du <abbr>xiii<sup>e</sup></abbr> siècle. Étude  et édition	13-1938-1941	1941	57-60	06	ENCPOS_1941_06	ENCPOS/1941/ENCPOS_1941_06/	Gaston-Chéreau, Françoise	Gaston-Chéreau	Françoise						194106		1941			NC		1200-1299			bon état	gaston	2	1200	1299		
Le costume féminin en France, depuis le milieu du xiie siècle jusqu’à la mort de Charles VI (1150-1422)	Le costume féminin en France, depuis le milieu du <abbr>xii<sup>e</sup></abbr> siècle jusqu’à la mort de Charles_VI (1150-1422)	13-1938-1941	1941	61-69	07	ENCPOS_1941_07	ENCPOS/1941/ENCPOS_1941_07/	Grandjean, Suzanne	Grandjean	Suzanne						194107		1941			NC		1150-1422			bon état	grandjean	2	1150	1422		
L’œuvre politique de François_de_Meyronnes	L’œuvre politique de François_de_Meyronnes	13-1938-1941	1941	71-77	08	ENCPOS_1941_08	ENCPOS/1941/ENCPOS_1941_08/	Lapparent, De, Pierre	Lapparent, De	Pierre						194108		1941			NC		1288-1328			bon état	lapparent	1	1288	1328		
Les forêts du comté de Blois jusqu’à la fin du xve siècle	Les forêts du comté de Blois jusqu’à la fin du <abbr>xv<sup>e</sup></abbr> siècle	13-1938-1941	1941	79-85	09	ENCPOS_1941_09	ENCPOS/1941/ENCPOS_1941_09/	Martin-Demézil, Jean	Martin-Demézil	Jean						194109		1941			NC		1450-1499			bon état	martindemezil	1	1450	1499		
La succession de Charles le Téméraire, d’après deux mémoires contemporains	La succession de Charles_le_Téméraire, d’après deux mémoires contemporains	13-1938-1941	1941	87-92	10	ENCPOS_1941_10	ENCPOS/1941/ENCPOS_1941_10/	Milliez, Marguerite	Milliez	Marguerite						194110		1941			NC		1477-1477			bon état	milliez	2	1477	1477		
Le cartulaire du chapitre de Notre-Dame de Lausanne	Le cartulaire du chapitre de Notre-Dame de Lausanne	13-1938-1941	1941	93-98	11	ENCPOS_1941_11	ENCPOS/1941/ENCPOS_1941_11/	Roth, Charles	Roth	Charles						194111		1941			NC		1145-1499			bon état	roth	1	1145	1499		
Martial d’Auvergne et les « Vigiles de Charles VII »	Martial d’Auvergne et les <i>Vigiles_de_Charles_VII</i> 	13-1938-1941	1941	99-104	12	ENCPOS_1941_12	ENCPOS/1941/ENCPOS_1941_12/	Rychner, Jean	Rychner	Jean						194112		1941			NC		1477-1483			bon état	rychner	1	1477	1483		
La fondation des bastides royales dans la sénéchaussée de Toulouse aux xiiie et xive siècles	La fondation des bastides royales dans la sénéchaussée de Toulouse aux <abbr>xiii<sup>e</sup></abbr> et <abbr>xiv<sup>e</sup></abbr> siècles	13-1938-1941	1941	105-110	13	ENCPOS_1941_13	ENCPOS/1941/ENCPOS_1941_13/	Saint-Blanquat, Odon, De	Saint-Blanquat	Odon, De						194113		1941			NC		1200-1399			bon état	saintblanquat	1	1200	1399		
Les pêcheries en Bretagne méridionale jusqu’à la fin de l’Ancien_Régime	Les pêcheries en Bretagne méridionale jusqu’à la fin de l’Ancien_Régime	13-1938-1941	1941	111-116	14	ENCPOS_1941_14	ENCPOS/1941/ENCPOS_1941_14/	Trémenbert, Jacqueline	Trémenbert	Jacqueline						194114		1941			NC		500-1789			bon état	tremenbert	2	500	1789		
pages postliminaires		13-1938-1941	1941	117-	NEXT	ENCPOS_1941_NEXT	ENCPOS/1941/ENCPOS_1941_NEXT/																									
pages liminaires		14-1942-1945	1942	0-8	PREV	ENCPOS_1942_PREV	ENCPOS/1942/ENCPOS_1942_PREV/																									
« Le livre de philosophie et de moralité » par Alart de Cambrai. Étude et édition	<i>Le_livre_de_philosophie_et_de_moralité</i> par Alart_de_Cambrai. Étude et édition	14-1942-1945	1942	9-13	01	ENCPOS_1942_01	ENCPOS/1942/ENCPOS_1942_01/	Bargeton, René	Bargeton	René						194201		1942			NC		1200-1268			bon état	bargeton	1	1200	1268		
Les appels à l’Angleterre des partis français en lutte (1411-1418)	Les appels à l’Angleterre des partis français en lutte (1411-1418)	14-1942-1945	1942	15-20	02	ENCPOS_1942_02	ENCPOS/1942/ENCPOS_1942_02/	Boitel, Jacques	Boitel	Jacques						194202		1942			NC		1411-1418			bon état	boitel	1	1411	1418		
Le corps et communauté des patrons-pêcheurs de Marseille des origines à la Révolution	Le corps et communauté des patrons-pêcheurs de Marseille, des origines à la Révolution	14-1942-1945	1942	21-28	03	ENCPOS_1942_03	ENCPOS/1942/ENCPOS_1942_03/	Brin, Erwana	Brin	Erwana						194203		1942			NC		-500-1789			bon état	brin		-500	1789		
Rabastens. Étude d’un consulat jusqu’à la fin du xvie siècle	Rabastens. Étude d’un consulat jusqu’à la fin du <abbr>xvi<sup>e</sup></abbr> siècle	14-1942-1945	1942	29-35	04	ENCPOS_1942_04	ENCPOS/1942/ENCPOS_1942_04/	Casaubon-Seignour, Madeleine	Casaubon-Seignour	Madeleine						194204		1942			NC		1000-1599			bon état	casaubon	2	1000	1599		
Une vallée des Alpes briançonnaises. La Vallouise, des origines à la Révolution	Une vallée des Alpes briançonnaises. La Vallouise, des origines à la Révolution	14-1942-1945	1942	37-42	05	ENCPOS_1942_05	ENCPOS/1942/ENCPOS_1942_05/	Chassang, Marguerite-Marie	Chassang	Marguerite-Marie						194205		1942			NC		-500-1789			bon état	chassang	2	-500	1789		
Étude sur les inventaires après décès de Paris (1500-1560)	Étude sur les inventaires après décès de Paris (1500-1560)	14-1942-1945	1942	43-50	06	ENCPOS_1942_06	ENCPOS/1942/ENCPOS_1942_06/	Connat, Madeleine	Connat	Madeleine						194206		1942			NC		1500-1560			bon état	connat	2	1500	1560		
Les traités de comput ecclésiastique de 525 à 990	Les traités de comput ecclésiastique de 525 à 990	14-1942-1945	1942	51-56	07	ENCPOS_1942_07	ENCPOS/1942/ENCPOS_1942_07/	Cordoliani, Alfred	Cordoliani	Alfred						194207		1942			NC		525-990			bon état	cordoliani	1	525	990		
Le testament dans la coutume de Paris de la fin du xiiie au début du xviiie siècle	Le testament dans la coutume de Paris de la fin du <abbr>xiii<sup>e</sup></abbr> au début du <abbr>xviii<sup>e</sup></abbr> siècle	14-1942-1945	1942	57-59	08	ENCPOS_1942_08	ENCPOS/1942/ENCPOS_1942_08/	Fleury, Marie-Antoinette	Fleury	Marie-Antoinette						194208		1942			NC		1200-1799			bon état	fleury	2	1200	1799		
A.-G. Camus, garde des Archives nationales (1740-1804)	A.-G. Camus, garde des Archives nationales (1740-1804)	14-1942-1945	1942	61-67	09	ENCPOS_1942_09	ENCPOS/1942/ENCPOS_1942_09/	Géraudel, Pierre	Géraudel	Pierre						194209		1942			NC		1740-1804			bon état	geraudel	1	1740	1804		
Les registres du Trésor royal pour l’année 1669. Étude et édition.	Les registres du Trésor royal pour l’année 1669. Étude et édition.	14-1942-1945	1942	69-74	10	ENCPOS_1942_10	ENCPOS/1942/ENCPOS_1942_10/	Mallon, Lucile	Mallon	Lucile						194210		1942			NC		1669-1669			bon état	mallon	2	1669	1669		
Recherches sur quelques prophéties médiévales concernant l’Église	Recherches sur quelques prophéties médiévales concernant l’Église	14-1942-1945	1942	75-83	11	ENCPOS_1942_11	ENCPOS/1942/ENCPOS_1942_11/	Malon, Charles	Malon	Charles						194211		1942			NC		500-1499			bon état	malon	1	500	1499		
Saint-Etienne de Nevers et les églises romanes à nef et collatéraux éclairées et voûtées	Saint-Etienne de Nevers et les églises romanes à nef et collatéraux éclairées et voûtées	14-1942-1945	1942	85-93	12	ENCPOS_1942_12	ENCPOS/1942/ENCPOS_1942_12/	Masson, Jeanne	Masson	Jeanne						194212		1942			NC		900-1499			bon état	masson	2	900	1499		
Les routes dans la généralité de Bourges au xviiie siècle	Les routes dans la généralité de Bourges au <abbr>xviii<sup>e</sup></abbr> siècle	14-1942-1945	1942	95-105	13	ENCPOS_1942_13	ENCPOS/1942/ENCPOS_1942_13/	Pageault, Félix	Pageault	Félix						194213		1942			NC		1700-1799			bon état	pageault	1	1700	1799		
Les noms de personnes dans le cartulaire de Brioude	Les noms de personnes dans le cartulaire de Brioude	14-1942-1945	1942	107-111	14	ENCPOS_1942_14	ENCPOS/1942/ENCPOS_1942_14/	Peyraube, Marguerite-Marie	Peyraube	Marguerite-Marie						194214		1942			NC		500-1499			bon état	peyraube	2	500	1499		
Recherches sur les légendes françaises de saint François d'Assise. Édition de la version anglo-normande (ms. Bibl. nat., fr. 13505)	Recherches sur les légendes françaises de saint François_d_Assise. Édition de la version anglo-normande (ms. Bibl. nat., fr. 13505)	14-1942-1945	1942	113-118	15	ENCPOS_1942_15	ENCPOS/1942/ENCPOS_1942_15/	Thomas, Marcel	Thomas	Marcel						194216		1942			NC		1200-1499			bon état	thomas	1	1200	1499		
pages postliminaires		14-1942-1945	1942	119-	NEXT	ENCPOS_1942_NEXT	ENCPOS/1942/ENCPOS_1942_NEXT/																									
pages liminaires		14-1942-1945	1942	0-2	PREV	ENCPOS_1942_PREV	ENCPOS/1942/ENCPOS_1942_PREV/																									
La vie rurale en Thiérache au xvie siècle	La vie rurale en Thiérache au <abbr>xvi<sup>e</sup></abbr> siècle	14-1942-1945	1942	3-9	01	ENCPOS_1942_01	ENCPOS/1942/ENCPOS_1942_01/	Robinet, René	Robinet	René						194215		1942			NC		1500-1599			bon état	robinet	1	1500	1599		
pages postliminaires		14-1942-1945	1942	10-	NEXT	ENCPOS_1942_NEXT	ENCPOS/1942/ENCPOS_1942_NEXT/																									
pages liminaires		14-1942-1945	1943	0-8	PREV	ENCPOS_1943_PREV	ENCPOS/1943/ENCPOS_1943_PREV/																									
L’exercice de la justice publique dans l’Empire_carolingien	L’exercice de la justice publique dans l’Empire_carolingien	14-1942-1945	1943	9-18	01	ENCPOS_1943_01	ENCPOS/1943/ENCPOS_1943_01/	Bautier, Robert-Henri	Bautier	Robert-Henri						194301		1943			NC		800-999			bon état	bautier	1	800	999		
Étienne Pasquier. Sa vie et ses recherches sur l’organisation civile française	Étienne Pasquier. Sa vie et ses recherches sur l’organisation civile française	14-1942-1945	1943	19-27	02	ENCPOS_1943_02	ENCPOS/1943/ENCPOS_1943_02/	Bouteiller, Paul	Bouteiller	Paul						194302		1943			NC		1529-1615			bon état	bouteiller	1	1529	1615		
Le « Ruralium commodorum opus » de Pierre de Crescent. Étude d’histoire économique	Le <i>Ruralium_commodorum_opus</i> de Pierre_de_Crescent. Étude d’histoire économique	14-1942-1945	1943	29-35	03	ENCPOS_1943_03	ENCPOS/1943/ENCPOS_1943_03/	Boyer, Pierre	Boyer	Pierre						194303		1943			NC		1230-1320			bon état	boyer	1	1230	1320		
Le temporel de l’Église cathédrale de Paris pendant les guerres de Religion (1560-1610)	Le temporel de l’Église cathédrale de Paris pendant les guerres_de_Religion (1560-1610)	14-1942-1945	1943	37-40	04	ENCPOS_1943_04	ENCPOS/1943/ENCPOS_1943_04/	Chabord, Marie-Thérèse	Chabord	Marie-Thérèse						194304		1943			NC		1560-1610			bon état	chabord	2	1560	1610		
L’administration des biens chez les frères mineurs des origines au milieu du xvie siècle	L’administration des biens chez les frères mineurs des origines au milieu du <abbr>xvi<sup>e</sup></abbr> siècle	14-1942-1945	1943	41-47	05	ENCPOS_1943_05	ENCPOS/1943/ENCPOS_1943_05/	Clément, Marguerite-Marie	Clément	Marguerite-Marie						194305		1943			NC		1200-1550			bon état	clement	2	1200	1550		
Barthélémy de Roye, chambrier de France	Barthélémy_de_Roye, chambrier de France	14-1942-1945	1943	49-54	06	ENCPOS_1943_06	ENCPOS/1943/ENCPOS_1943_06/	Daon, Pierre	Daon	Pierre						194306		1943			NC		1170-1237			bon état	daon	1	1170	1237		
Gaillard, Jacques et Raoul Spifame. Étude d’une famille au xvie siècle	Gaillard, Jacques, Raoul_Spifame. Étude d’une famille au <abbr>xvi<sup>e</sup></abbr> siècle	14-1942-1945	1943	55-61	07	ENCPOS_1943_07	ENCPOS/1943/ENCPOS_1943_07/	Delmas, André	Delmas	André						194307		1943			NC		1500-1599			bon état	delmas	1	1500	1599		
Un chapitre de dames nobles : la collégiale Saint-Goéry d’Épinal	Un chapitre de dames nobles : la collégiale Saint-Goéry d’Épinal	14-1942-1945	1943	63-73	08	ENCPOS_1943_08	ENCPOS/1943/ENCPOS_1943_08/	Dumont, Jean-Marie	Dumont	Jean-Marie						194308		1943			NC		1000-1792			bon état	dumont	1	1000	1792		
Le bailliage de Saint-Pierre-le-Moutier, de sa création au milieu du xvie siècle	Le bailliage de Saint-Pierre-le-Moutier, de sa création au milieu du <abbr>xvi<sup>e</sup></abbr> siècle	14-1942-1945	1943	75-80	09	ENCPOS_1943_09	ENCPOS/1943/ENCPOS_1943_09/	Durye, Pierre	Durye	Pierre						194309		1943			NC		500-1550			bon état	durye	1	500	1550		
Le testament dans la coutume de Paris au xvie siècle	Le testament dans la coutume de Paris au <abbr>xvi<sup>e</sup></abbr> siècle	14-1942-1945	1943	81-88	10	ENCPOS_1943_10	ENCPOS/1943/ENCPOS_1943_10/	Fleury, Marie-Antoinette	Fleury	Marie-Antoinette						194310		1943			NC		1500-1599			bon état	fleury	2	1500	1599		
L’industrie du fer en France, de Colbert à la Révolution	L’industrie du fer en France, de Colbert à la Révolution	14-1942-1945	1943	89-99	11	ENCPOS_1943_11	ENCPOS/1943/ENCPOS_1943_11/	Gille, Bertrand	Gille	Bertrand						194311		1943			NC		1665-1789			bon état	gille	1	1665	1789		
L’architecture gothique des xve et xvie siècles dans les anciens diocèses de Quimper et de Vannes	L’architecture gothique des <abbr>xv<sup>e</sup></abbr> et <abbr>xvi<sup>e</sup></abbr> siècles dans les anciens diocèses de Quimper et de Vannes	14-1942-1945	1943	101-107	12	ENCPOS_1943_12	ENCPOS/1943/ENCPOS_1943_12/	Groër, De, Léon	Groër, De	Léon						194312		1943			NC		1400-1699			bon état	groer	1	1400	1699		
L’architecture militaire du xie au xvie siècle dans la viguerie de Grasse et le bailliage de Saint-Paul-de-Vence	L’architecture militaire du <abbr>xi<sup>e</sup></abbr> au <abbr>xvi<sup>e</sup></abbr> siècle dans la viguerie de Grasse et le bailliage de Saint-Paul-de-Vence	14-1942-1945	1943	109-116	13	ENCPOS_1943_13	ENCPOS/1943/ENCPOS_1943_13/	Humbert, Denise	Humbert	Denise						194313		1943			NC		1000-1599			bon état	humbert	2	1000	1599		
Les industrie de la soie en Languedoc au xviie siècle et au xviiie siècle	Les industrie de la soie en Languedoc au <abbr>xvii<sup>e</sup></abbr> siècle et au <abbr>xviii<sup>e</sup></abbr> siècle	14-1942-1945	1943	117-126	14	ENCPOS_1943_14	ENCPOS/1943/ENCPOS_1943_14/	Laporte, Madeleine	Laporte	Madeleine						194314		1943			NC		1600-1799			bon état	laporte	2	1600	1799		
L’assistance charitable à Blois avant la Révolution	L’assistance charitable à Blois avant la Révolution	14-1942-1945	1943	127-134	15	ENCPOS_1943_15	ENCPOS/1943/ENCPOS_1943_15/	Lemoine, Jeannine	Lemoine	Jeannine						194315		1943			NC		1500-1789			bon état	lemoine	2	1500	1789		
La communauté des maîtres maçons de Paris et sa juridiction aux xviie et xviiie siècles	La communauté des maîtres maçons de Paris et sa juridiction aux <abbr>xvii<sup>e</sup></abbr> et <abbr>xviii<sup>e</sup></abbr> siècles	14-1942-1945	1943	135-142	16	ENCPOS_1943_16	ENCPOS/1943/ENCPOS_1943_16/	Letrait, Jean-Jacques	Letrait	Jean-Jacques						194316		1943			NC		1600-1799			bon état	letrait	1	1600	1799		
Étude sur les évêques et le diocèse de Bayeux au milieu du xve siècle (1431-1479)	Étude sur les évêques et le diocèse de Bayeux au milieu du <abbr>xv<sup>e</sup></abbr> siècle (1431-1479)	14-1942-1945	1943	143-153	17	ENCPOS_1943_17	ENCPOS/1943/ENCPOS_1943_17/	Mahieu, Bernard	Mahieu	Bernard						194317		1943			NC		1431-1479			bon état	mahieu	1	1431	1479		
Les corps de métiers toulousains au xiiie et au xive siècles. Étude suivie de la publication du Livre des métiers	Les corps de métiers toulousains au <abbr>xiii<sup>e</sup></abbr> et au <abbr>xiv<sup>e</sup></abbr> siècles. Étude suivie de la publication du <i>Livre_des_métiers</i>	14-1942-1945	1943	155-160	18	ENCPOS_1943_18	ENCPOS/1943/ENCPOS_1943_18/	Marie-Saint-Germain, Georgette	Marie-Saint-Germain	Georgette						194318		1943			NC		1200-1399			bon état	mariesaintgermain	2	1200	1399		
Politiques, ligueurs et huguenots en Vivarais à la fin du xvie siècle (1574-1600)	Politiques, ligueurs et huguenots en Vivarais à la fin du <abbr>xvi<sup>e</sup></abbr> siècle (1574-1600)	14-1942-1945	1943	161-173	19	ENCPOS_1943_19	ENCPOS/1943/ENCPOS_1943_19/	Maufront, Nicole	Maufront	Nicole						194319		1943			NC		1574-1600			bon état	maufront	2	1574	1600		
Guillaume de Conches et le « Dragmaticon Philosophiae ». Étude et édition	Guillaume_de_Conches et le <i>Dragmaticon_Philosophiae</i>. Étude et édition	14-1942-1945	1943	175-181	20	ENCPOS_1943_20	ENCPOS/1943/ENCPOS_1943_20/	Parra, Clotilde	Parra	Clotilde						194320		1943			NC		1100-1150			bon état	parra	2	1100	1150		
Les seigneurs de Montlaur, des origines au xve siècle	Les seigneurs de Montlaur, des origines au <abbr>xv<sup>e</sup></abbr> siècle	14-1942-1945	1943	183-189	21	ENCPOS_1943_21	ENCPOS/1943/ENCPOS_1943_21/	Pontal, Odette	Pontal	Odette						194321		1943			NC		1050-1499			bon état	pontal	2	1050	1499		
Les eaux et forêts dans la maîtrise particulière de Grenoble au xviiie siècle	Les eaux et forêts dans la maîtrise particulière de Grenoble au <abbr>xviii<sup>e</sup></abbr> siècle	14-1942-1945	1943	191-197	22	ENCPOS_1943_22	ENCPOS/1943/ENCPOS_1943_22/	Repiton-Preneuf, Suzanne	Repiton-Preneuf	Suzanne						194322		1943			NC		1700-1799			bon état	repiton	2	1700	1799		
Le duché de Bourgogne aux xie et xiie siècles	Le duché de Bourgogne aux <abbr>xi<sup>e</sup></abbr> et <abbr>xii<sup>e</sup></abbr> siècles	14-1942-1945	1943	199-207	23	ENCPOS_1943_23	ENCPOS/1943/ENCPOS_1943_23/	Richard, Jean	Richard	Jean						194323		1943			NC		1000-1199			bon état	richard	1	1000	1199		
L’architecture religieuse flamboyante dans les anciens archidiaconés du Vexin français et du Vexin normand	L’architecture religieuse flamboyante dans les anciens archidiaconés du Vexin français et du Vexin normand	14-1942-1945	1943	209-216	24	ENCPOS_1943_24	ENCPOS/1943/ENCPOS_1943_24/	Rivoire, Monique	Rivoire	Monique						194324		1943			NC		1100-1499			bon état	rivoire	2	1100	1499		
L’architecture civile privée dans le Pays chartrain	L’architecture civile privée dans le Pays chartrain	14-1942-1945	1943	217-223	25	ENCPOS_1943_25	ENCPOS/1943/ENCPOS_1943_25/	Verlet, Hélène	Verlet	Hélène						194325		1943			NC		500-1789			bon état	verlet	2	500	1789		
pages postliminaires		14-1942-1945	1943	225-	NEXT	ENCPOS_1943_NEXT	ENCPOS/1943/ENCPOS_1943_NEXT/																									
pages liminaires		14-1942-1945	1944	0-8	PREV	ENCPOS_1944_PREV	ENCPOS/1944/ENCPOS_1944_PREV/																									
Le collège de la Trinité et la Réforme à Lyon au xvie siècle	Le collège_de_la_Trinité et la Réforme à Lyon au <abbr>xvi<sup>e</sup></abbr> siècle	14-1942-1945	1944	9-16	01	ENCPOS_1944_01	ENCPOS/1944/ENCPOS_1944_01/	Brasart, Georgette	Brasart	Georgette						194401		1944			NC		1500-1599			bon état	brasart	2	1500	1599		
L’ordre du Temple en Occident, des origines à 1187	L’ordre du Temple en Occident, des origines à 1187	14-1942-1945	1944	17-22	02	ENCPOS_1944_02	ENCPOS/1944/ENCPOS_1944_02/	Carof, Marguerite-Marie	Carof	Marguerite-Marie						194402		1944			NC		1129-1187			bon état	carof	2	1129	1187		
La littérature des recettes du xiie au xvie siècle, d’après les manuscrits des bibliothèques publiques de Paris	La littérature des recettes du <abbr>xii<sup>e</sup></abbr> au <abbr>xvi<sup>e</sup></abbr> siècle, d’après les manuscrits des bibliothèques publiques de Paris	14-1942-1945	1944	23-30	03	ENCPOS_1944_03	ENCPOS/1944/ENCPOS_1944_03/	Cézard, Pierre	Cézard	Pierre						194403		1944			NC		1100-1599			bon état	cezard	1	1100	1599		
Le libraire-imprimeur Pasquier Bonhomme et son édition des « Grandes Chroniques de France »	Le libraire-imprimeur Pasquier_Bonhomme et son édition des <i>Grandes_Chroniques_de_France</i>	14-1942-1945	1944	31-38	04	ENCPOS_1944_04	ENCPOS/1944/ENCPOS_1944_04/	Coeur, Françoise	Coeur	Françoise						194404		1944			NC		1477-1477			bon état	coeur	2	1477	1477		
L’administration municipale de Nevers au temps des comtes (1231-1538)	L’administration municipale de Nevers au temps des comtes (1231-1538)	14-1942-1945	1944	39-46	05	ENCPOS_1944_05	ENCPOS/1944/ENCPOS_1944_05/	Cormier, Reine	Cormier	Reine						194405		1944			NC		1231-1538			bon état	cormier	2	1231	1538		
Le clergé séculier du diocèse de Saint-Malo au xvie siècle	Le clergé séculier du diocèse de Saint-Malo au <abbr>xvi<sup>e</sup></abbr> siècle	14-1942-1945	1944	47-52	06	ENCPOS_1944_06	ENCPOS/1944/ENCPOS_1944_06/	Gicquello, Madeleine	Gicquello	Madeleine						194406		1944			NC		1500-1599			bon état	gicquello	2	1500	1599		
Le rôle économique et social des prieurés angevins de Marmoutier. Étude suivie de l’édition du cartulaire de Saint-Pierre de Chemillé	Le rôle économique et social des prieurés angevins de Marmoutier. Étude suivie de l’édition du cartulaire de Saint-Pierre_de_Chemillé	14-1942-1945	1944	53-58	07	ENCPOS_1944_07	ENCPOS/1944/ENCPOS_1944_07/	Hemmer, Henri	Hemmer	Henri						194407		1944			NC		1200-1480			bon état	hemmer	1	1200	1480		
Jean Corbechon, traducteur de Barthélémy l’Anglais (1372)	Jean_Corbechon, traducteur de Barthélémy l’Anglais (1372)	14-1942-1945	1944	59-67	08	ENCPOS_1944_08	ENCPOS/1944/ENCPOS_1944_08/	Herfray-Rey, Claude	Herfray-Rey	Claude						194408		1944			NC		1372-1372			bon état	herfray	2	1372	1372		
La seigneurie bretonne de Quintin jusqu’en 1682	La seigneurie bretonne de Quintin jusqu’en 1682	14-1942-1945	1944	69-76	09	ENCPOS_1944_09	ENCPOS/1944/ENCPOS_1944_09/	Langlois, Monique	Langlois	Monique						194409		1944			NC		500-1682			bon état	langlois	2	500	1682		
Le bailliage du Palais de 1359 à 1712	Le bailliage du Palais de 1359 à 1712	14-1942-1945	1944	77-86	10	ENCPOS_1944_10	ENCPOS/1944/ENCPOS_1944_10/	Leroux, Édouard	Leroux	Édouard						194410		1944			NC		1359-1712			bon état	leroux	1	1359	1712		
La vie rurale en Champagne méridionale aux xiie et xiiie siècles	La vie rurale en Champagne méridionale aux <abbr>xii<sup>e</sup></abbr> et <abbr>xiii<sup>e</sup></abbr> siècles	14-1942-1945	1944	87-95	11	ENCPOS_1944_11	ENCPOS/1944/ENCPOS_1944_11/	Massa, Geneviève	Massa	Geneviève						194411		1944			NC		1100-1299			bon état	massa	2	1100	1299		
Le droit héraldique en France jusqu’au milieu du xviie siècle	Le droit héraldique en France jusqu’au milieu du <abbr>xvii<sup>e</sup></abbr> siècle	14-1942-1945	1944	97-109	12	ENCPOS_1944_12	ENCPOS/1944/ENCPOS_1944_12/	Mathieu, Rémi	Mathieu	Rémi						194412		1944			NC		500-1650			bon état	mathieu	1	500	1650		
Le Poitou et les croisades	Le Poitou et les croisades	14-1942-1945	1944	111-120	13	ENCPOS_1944_13	ENCPOS/1944/ENCPOS_1944_13/	Michaud, Hélène	Michaud	Hélène						194413		1944			NC		1095-1291			bon état	michaud	2	1095	1291		
Les officiers royaux des bailliages de Champagne de 1285 à 1422	Les officiers royaux des bailliages de Champagne de 1285 à 1422	14-1942-1945	1944	121-129	14	ENCPOS_1944_14	ENCPOS/1944/ENCPOS_1944_14/	Ozanam, Didier	Ozanam	Didier						194414		1944			NC		1285-1422			bon état	ozanam	1	1285	1422		
PierreChastellain, dit Vaillant. Étude et édition	Pierre_Chastellain, dit Vaillant. Étude et édition	14-1942-1945	1944	131-136	15	ENCPOS_1944_15	ENCPOS/1944/ENCPOS_1944_15/	Pascal, France	Pascal	France						194415		1944			NC		1400-1499			bon état	pascal	2	1400	1499		
pages postliminaires		14-1942-1945	1944	137-	NEXT	ENCPOS_1944_NEXT	ENCPOS/1944/ENCPOS_1944_NEXT/																									
